persistence_score,detection_count,average_frp,average_confidence,industrial_distance_km,nearby_industrial_facility_count,label
31.6,2,101.8,52.0,29.88,2,Other
28.0,2,44.9,77.9,11.27,2,Agricultural
17.3,1,33.3,78.3,20.44,0,Agricultural
82.9,36,61.9,64.8,0.14,4,Industrial
86.2,18,51.9,79.1,2.57,4,Industrial
92.5,38,81.1,90.2,1.69,3,Industrial
32.8,6,208.6,93.9,28.23,0,Wildfire
59.3,4,44.7,79.6,18.6,0,Agricultural
0.0,8,104.4,92.9,16.55,0,Wildfire
28.3,7,199.1,85.4,21.27,0,Wildfire
50.1,9,30.5,82.3,11.64,0,Other
32.9,10,135.6,100.0,3.3,1,Wildfire
22.1,1,9.7,46.2,18.3,1,Agricultural
89.6,1,101.9,95.3,8.44,3,Other
6.1,3,154.1,87.2,38.59,0,Wildfire
34.7,3,16.5,62.7,23.59,1,Agricultural
67.7,7,98.0,63.3,1.95,2,Other
83.2,9,32.9,84.6,33.71,3,Other
83.2,26,52.5,85.9,0.72,7,Industrial
87.5,7,45.4,53.4,13.4,3,Other
41.7,1,222.3,87.0,31.99,0,Wildfire
1.8,2,217.5,97.9,19.29,1,Wildfire
32.8,1,316.2,90.1,19.04,0,Wildfire
81.6,4,22.4,67.1,49.07,1,Other
15.5,3,266.5,92.1,15.15,1,Wildfire
17.2,8,281.7,99.2,20.4,0,Wildfire
23.8,2,20.8,72.1,15.08,0,Agricultural
82.2,37,58.4,98.1,3.27,5,Industrial
77.7,18,32.5,96.5,1.06,6,Industrial
73.3,47,45.2,85.1,0.82,6,Industrial
91.4,11,43.9,97.0,0.45,6,Industrial
84.9,26,105.4,79.1,3.73,6,Industrial
87.8,23,57.3,83.7,1.14,4,Industrial
26.3,7,19.6,80.3,12.41,2,Agricultural
73.4,16,50.7,91.5,0.17,7,Industrial
0.0,1,136.9,99.0,36.3,0,Wildfire
23.9,3,67.6,61.7,0.98,2,Other
34.3,6,184.7,88.0,30.1,0,Wildfire
59.1,1,44.4,89.3,10.0,1,Agricultural
83.8,30,48.2,100.0,3.42,7,Industrial
85.8,24,97.8,96.8,1.55,2,Industrial
92.2,26,70.1,90.2,0.1,4,Industrial
100.0,25,26.2,84.5,1.57,6,Industrial
0.0,7,241.5,95.0,25.02,0,Wildfire
89.1,19,57.6,100.0,0.14,4,Industrial
100.0,30,42.6,88.9,0.16,5,Industrial
78.4,31,57.7,75.1,0.84,4,Industrial
23.7,6,201.6,66.8,32.83,0,Wildfire
52.2,16,74.2,84.7,2.68,6,Industrial
9.0,4,129.2,84.8,6.08,0,Wildfire
34.2,3,1.0,39.2,20.91,0,Agricultural
38.5,3,17.1,57.8,27.66,0,Agricultural
82.4,39,41.6,92.6,0.34,3,Industrial
87.4,4,111.2,66.0,45.3,0,Other
11.3,2,10.1,80.2,13.41,0,Agricultural
94.2,14,67.4,73.1,0.1,1,Industrial
99.9,8,120.1,75.5,15.0,0,Other
28.5,4,115.9,77.0,3.87,0,Other
83.0,16,53.7,90.9,2.43,5,Industrial
0.0,12,242.5,91.5,36.82,0,Wildfire
6.3,2,14.5,87.2,36.17,0,Other
75.2,2,34.0,54.3,8.37,0,Agricultural
84.2,8,53.8,84.6,0.1,2,Industrial
100.0,38,25.1,87.3,0.33,3,Industrial
28.8,6,140.4,85.9,29.45,0,Wildfire
8.0,2,238.0,96.3,20.26,0,Wildfire
43.0,2,41.2,67.4,9.45,1,Agricultural
23.8,1,65.0,89.9,18.43,0,Wildfire
0.0,1,253.7,96.0,21.08,0,Wildfire
24.7,3,23.3,56.5,19.83,0,Agricultural
87.7,16,39.6,98.3,1.3,10,Industrial
45.0,5,247.0,100.0,29.47,0,Wildfire
32.5,2,17.1,62.5,6.94,0,Agricultural
40.0,5,96.7,83.2,41.81,0,Other
40.0,5,44.7,49.0,19.7,0,Agricultural
36.9,7,48.0,51.1,21.3,0,Agricultural
81.1,29,54.8,97.5,2.15,7,Industrial
27.8,4,264.1,86.1,21.73,0,Wildfire
52.5,1,46.8,65.6,26.62,0,Agricultural
79.5,38,8.6,75.5,0.69,6,Industrial
22.2,5,348.6,99.7,25.84,0,Wildfire
15.0,1,254.7,88.9,30.67,0,Wildfire
88.1,42,17.4,85.6,2.05,3,Industrial
31.0,1,283.9,94.9,17.66,0,Wildfire
83.6,25,55.7,79.4,1.26,7,Industrial
20.3,4,72.0,100.0,12.65,0,Wildfire
85.1,12,59.8,94.9,0.62,4,Industrial
82.8,9,134.6,80.0,26.5,0,Other
36.1,1,43.7,100.0,8.01,0,Agricultural
54.4,2,17.8,82.4,23.57,1,Agricultural
49.8,3,71.7,92.8,34.21,1,Other
15.1,7,210.4,70.1,34.4,0,Wildfire
81.1,21,23.2,92.4,2.15,4,Industrial
36.9,1,26.7,79.1,2.56,2,Agricultural
63.2,3,56.1,100.0,1.13,0,Agricultural
43.3,4,64.9,69.7,19.04,0,Agricultural
38.1,5,250.2,87.2,29.52,0,Wildfire
72.9,23,43.1,93.9,4.46,3,Industrial
3.2,7,295.3,94.8,35.61,1,Wildfire
20.5,7,206.0,79.8,27.47,0,Wildfire
25.1,2,8.9,68.0,19.15,0,Agricultural
51.2,6,19.0,45.1,12.4,0,Agricultural
5.9,7,145.3,87.3,24.86,0,Wildfire
80.8,7,138.1,92.7,34.16,0,Other
47.8,3,30.6,91.5,19.66,2,Agricultural
80.5,18,36.8,79.3,0.1,4,Industrial
90.4,34,52.5,83.8,1.66,7,Industrial
82.9,26,33.3,73.3,0.88,3,Industrial
85.1,32,69.5,80.0,2.11,5,Industrial
83.5,38,30.0,64.4,0.82,1,Industrial
95.9,27,41.1,83.0,0.69,7,Industrial
25.5,4,315.1,81.1,9.78,0,Wildfire
76.5,34,43.4,79.9,3.8,6,Industrial
12.9,5,141.1,65.4,43.48,1,Other
76.6,31,50.6,61.7,1.94,5,Industrial
49.0,4,57.1,77.6,6.55,1,Agricultural
16.1,1,296.2,91.8,33.38,0,Wildfire
45.0,7,121.2,74.7,44.74,0,Other
93.8,23,56.2,91.6,2.94,3,Industrial
13.0,1,134.6,78.7,20.88,0,Wildfire
44.2,4,114.5,94.7,37.84,0,Other
74.4,2,28.2,67.3,40.39,0,Other
6.3,2,130.2,81.7,12.66,1,Other
8.9,1,255.9,85.9,32.83,0,Wildfire
91.1,4,63.5,74.2,2.44,8,Industrial
34.2,1,60.2,78.4,21.12,2,Agricultural
8.9,4,42.3,64.6,38.61,0,Other
25.3,2,48.5,57.9,16.51,0,Agricultural
37.3,5,15.2,63.2,20.24,0,Agricultural
21.4,8,216.8,92.0,24.91,0,Wildfire
7.4,9,67.1,64.4,27.89,0,Other
97.3,23,29.9,75.2,0.26,6,Industrial
8.8,4,226.9,99.1,22.48,0,Wildfire
1.9,4,334.0,87.3,2.99,0,Wildfire
57.0,1,36.1,75.3,25.2,0,Agricultural
87.0,8,31.9,66.9,4.89,3,Industrial
82.3,22,43.4,60.8,2.41,5,Industrial
20.6,1,29.0,76.5,20.92,0,Agricultural
26.7,5,158.1,95.4,31.6,0,Wildfire
23.9,4,30.3,90.3,2.9,0,Agricultural
81.4,12,93.5,73.8,0.11,4,Industrial
36.4,1,236.5,87.5,18.71,1,Wildfire
43.0,3,17.8,57.1,2.41,0,Agricultural
90.3,25,33.0,85.1,1.45,4,Industrial
8.5,7,143.2,96.4,21.18,1,Wildfire
65.2,19,26.4,85.3,0.93,6,Industrial
73.1,17,14.5,78.1,0.1,3,Industrial
80.2,8,77.6,70.8,48.89,0,Other
10.7,2,123.7,85.8,13.74,1,Wildfire
41.2,9,16.8,60.5,28.29,1,Other
45.6,1,278.1,100.0,18.71,0,Wildfire
35.8,1,26.0,69.8,27.7,0,Agricultural
81.2,8,104.2,52.3,28.32,1,Other
46.2,2,1.0,50.6,19.96,1,Agricultural
0.0,5,247.8,95.3,23.83,0,Wildfire
9.3,3,167.1,100.0,21.21,0,Wildfire
51.2,3,211.6,100.0,2.54,0,Wildfire
74.9,8,118.0,51.9,9.71,3,Other
30.3,4,75.9,57.9,1.55,1,Other
24.0,1,140.0,79.0,33.35,1,Other
80.8,26,58.8,80.8,2.18,3,Industrial
28.8,1,41.3,60.8,8.15,0,Agricultural
86.6,3,21.0,67.8,37.38,3,Other
78.9,23,100.0,74.4,1.65,6,Industrial
81.5,45,59.4,80.1,1.56,4,Industrial
59.9,2,8.2,71.1,23.39,1,Agricultural
24.3,2,20.6,81.2,15.25,1,Agricultural
13.1,6,14.8,74.9,7.74,0,Other
91.9,15,10.9,78.3,1.05,7,Industrial
48.4,6,12.6,82.7,30.93,0,Other
86.9,27,60.0,81.6,1.35,4,Industrial
76.2,10,63.7,89.9,0.81,7,Industrial
81.7,31,85.3,95.4,0.79,3,Industrial
94.5,3,74.5,83.6,8.11,1,Other
41.4,3,44.3,57.8,17.93,1,Agricultural
28.9,4,32.3,74.5,8.74,0,Agricultural
30.6,9,246.5,86.8,30.43,0,Wildfire
51.8,5,54.0,79.0,36.49,1,Other
36.1,8,65.5,87.0,23.93,0,Wildfire
37.8,7,23.6,73.8,49.58,1,Other
0.0,1,200.7,100.0,20.53,0,Wildfire
0.0,9,399.8,90.5,18.59,0,Wildfire
62.4,6,162.7,79.2,26.23,0,Wildfire
5.7,3,119.4,90.5,19.36,0,Wildfire
17.6,2,51.4,62.0,8.94,0,Agricultural
45.0,1,55.7,77.9,11.8,3,Agricultural
77.5,23,62.3,84.7,0.1,9,Industrial
53.2,3,16.6,83.4,43.14,0,Other
16.7,6,225.6,87.8,28.84,0,Wildfire
48.3,1,23.5,95.8,8.86,1,Agricultural
80.6,1,36.8,69.3,24.24,0,Other
30.9,3,29.2,67.8,15.34,0,Agricultural
81.2,32,54.3,81.7,1.4,2,Industrial
62.3,2,80.6,77.2,14.18,3,Other
39.7,1,29.3,51.5,26.13,0,Agricultural
0.0,1,159.0,99.7,18.24,0,Wildfire
85.3,30,30.4,71.0,0.1,5,Industrial
53.2,5,108.4,53.4,9.69,0,Other
28.2,4,8.8,75.5,0.1,0,Agricultural
44.1,3,61.5,67.9,19.73,1,Agricultural
51.3,3,73.7,73.5,35.33,1,Other
4.2,5,86.2,58.4,38.02,2,Other
88.8,31,88.3,63.3,2.84,6,Industrial
8.3,5,124.3,92.6,25.53,0,Wildfire
76.8,16,53.5,72.5,6.53,5,Industrial
36.0,6,15.8,43.5,17.33,0,Agricultural
74.0,33,53.7,80.8,1.27,5,Industrial
18.2,6,5.7,64.7,14.53,0,Agricultural
30.5,2,22.0,85.7,9.81,1,Other
41.6,5,61.5,55.0,15.48,2,Other
39.6,1,185.7,88.4,27.18,0,Wildfire
28.0,2,99.5,53.8,6.71,1,Other
89.9,42,65.7,72.3,0.19,8,Industrial
25.7,5,61.4,95.7,18.41,1,Other
89.5,35,18.6,95.8,2.55,4,Industrial
17.7,8,128.5,86.1,23.24,0,Wildfire
67.9,4,144.6,80.0,40.37,0,Other
56.0,8,29.2,95.9,0.12,4,Industrial
87.1,26,28.7,83.8,0.59,5,Industrial
49.1,5,36.0,55.5,8.63,1,Agricultural
41.5,1,55.1,76.6,24.82,0,Agricultural
16.3,7,40.6,64.8,13.38,0,Agricultural
40.0,1,37.4,82.5,10.19,0,Agricultural
57.5,1,23.6,72.0,9.81,1,Agricultural
30.5,3,220.6,91.2,42.34,0,Wildfire
5.4,2,368.4,90.3,11.24,0,Wildfire
91.0,32,34.6,88.3,1.91,5,Industrial
36.7,5,30.7,87.3,0.42,0,Other
64.8,4,33.6,77.3,7.01,0,Agricultural
44.3,5,117.1,81.7,42.62,0,Wildfire
8.0,5,234.8,86.1,30.38,0,Wildfire
99.0,2,11.6,99.9,14.05,1,Other
88.1,33,53.4,96.5,0.31,4,Industrial
21.7,2,42.6,65.2,2.31,0,Agricultural
56.5,2,12.3,73.4,16.1,1,Agricultural
69.3,4,28.0,68.9,28.27,0,Agricultural
81.8,26,71.4,69.9,0.1,2,Industrial
43.8,3,33.1,84.5,25.73,0,Other
32.0,6,20.1,57.4,3.66,3,Other
35.8,7,24.7,71.6,25.37,0,Agricultural
48.5,1,17.1,90.7,23.16,1,Agricultural
77.0,6,133.6,76.4,25.88,3,Other
